time_index,E,B,F,C,H,D,A
0,0.468742123502341,0.6166621074031546,1.150693456774078,0.1595117542050609,-0.45371919165914326,0.1937582347192637,-1.8203767643068707
1,0.5251326075894025,-0.8293967678615771,1.0976124827012097,-0.09533835525138021,-0.5285599075960429,-0.03350149272299581,1.149600323653036
2,0.9264276214154674,0.14960968865710567,1.219075248968617,1.302025461081176,-0.5474444410859653,0.09657907765838268,-1.7863965571854017
3,0.6941868170222896,-0.6625120071591929,0.19990161914207127,0.5039131468131939,-1.44699287275468,-0.014882697319693548,1.1090958326776015
4,0.7061884550392579,0.2055211107969714,0.8138012256298737,0.1960260840686959,-1.6205650320238445,0.033245567292723724,-1.767026335054278
5,0.4731471476634545,-0.4952141755440719,1.1292553409496062,0.3291296329314052,-1.616228041192175,0.0017398149498021875,1.0874124044474878
6,-0.9679672479230398,-0.3537213710454357,1.193984172773829,0.12690917469539792,-1.307332500691266,0.14695878937600718,-1.7319842209300411
7,-0.32426751716096275,-0.4304564144880566,1.2557309152201086,-0.015268670541750948,-0.5086944481549743,-0.011780194380965238,0.8328027155733698
8,-0.5615688052487611,-0.42710136220391787,0.5069979718624833,-0.665696291544486,-0.47551441494483637,0.1237962262149761,-1.4013619291524624
9,-0.07606726175380908,0.2978538530854572,0.8599546943257085,-0.2611534077048837,-1.1510594463212462,-0.020896400459863573,0.8007611244814338
10,0.11219424740102955,-0.5505719322095918,1.1710639060529187,0.7266944357427066,-1.2018106925660959,0.13229586828851728,-0.9393226658640688
11,0.33873300330107037,-0.3283026151918043,1.0303853712087503,0.28261142884693047,-1.4596851984113,0.021551847236394292,0.27847552225865224
12,0.35364886247671334,-0.36313407809256515,1.1116845835270002,0.6096136421912044,-1.5537258249171444,0.10323613814044216,-0.9317662833594182
13,0.36979877584870563,-0.3857780006028667,1.1694217187880374,0.2888044202438046,-1.8564321849095506,0.16726914858676734,0.25258534063322485
14,0.17244417911470722,-0.629907227695603,1.1411629954801912,0.10146716219822285,-1.8979859826229304,-0.9278025016636768,-1.2605835738609246
15,0.3980593378044779,-0.15472206484945558,1.306153753841973,-0.26086123500122493,-1.7597141937840135,0.8773017543434328,0.9444243731914963
16,0.36018271565521115,-0.585758151340258,1.14840715030346,-0.10242574892417135,-1.7896867343727112,-0.6197223432781833,-1.4789538212925015
17,1.337762623135275,-0.30742652688534283,1.1452705890304689,-0.01922040739225745,-1.473973211623696,1.0381340428661217,0.7583579093475618
