,A,B,F,C,H,D,E
0,,,-1.2071498976047927,0.5999678187826395,-0.9401283306717102,-0.07489651532935535,1.2251056288141975
1,0.23052893699871643,0.09878743617327326,0.33306659711994335,0.08382943817874554,-1.0588035476596003,0.10570116254793405,
2,,,-0.7848064286352237,-0.012289013576245136,-0.9292464435437788,-0.17387044045266487,-0.19790776886357353
3,-0.22046286593972872,0.17193883264159068,0.4058758786881135,-0.35841624545245204,-0.858315555294121,-0.044408965035907536,
4,,,-0.3897581041842193,-0.04928705142551069,-0.7287630400533782,0.42792715546961463,0.03532646069008201
5,0.3801386256673399,0.15967166101891334,0.1912769491504842,-0.10897668172752736,-0.5088831022292757,-0.28227405048393095,
6,,,0.24115451242506009,-0.01520355986252068,-0.5020064411535189,0.25168161136364353,-0.17134469841104
7,0.013266879994124504,-0.22629876126459328,-0.29411844008961624,-0.002813069019485325,0.09769760078621498,-0.41749372536852447,
8,,,0.10930288890101503,0.007280020901358129,0.3969196064976412,0.1263079063729009,0.43507632833275567
9,-0.007659533634271715,0.02666269052978919,-0.09085232152840557,0.0005092342241620453,0.23170633968253193,-0.36051237291049265,
10,,,0.047762314243328316,-0.00022822320336836062,0.21279129930153962,0.08286204389844859,-0.5071165269819256
11,0.06252606174530755,0.18517922606188544,-0.20217275613092167,0.18491752231649464,0.4165295067137772,-0.2020201905028352,
12,,,0.3130084585992822,0.02588822975711977,0.31900632414539337,-0.8650784427403801,0.29768756356851434
13,-0.6643068817456925,0.1388772997015697,-0.16559152509364122,0.19521903224848555,0.6316272022118522,1.098525805330909,
14,,,-0.020350287945440935,-0.026233757488268106,0.3360301928598419,-0.9488552986300831,0.3205183828680322
15,0.10192018367811428,0.24123041371177797,0.03823018785265825,0.005225622357557663,0.3012547069795075,-0.23720476800963108,
16,,,-0.013139209191009681,0.005272856187128382,0.27511817353570067,-0.007525110109644118,-0.37986549018273563
17,-0.8237936002828299,0.29903334417068433,0.7481492814507558,-0.007641731405504311,0.2507375838218887,-0.11784971108618558,
18,,,-1.3089962483702724,-0.14957405170123567,0.22818956962494102,-0.11943947222159654,0.09801166464619349
19,0.28185780600763577,0.22032878608244907,0.7489861001691239,-0.105367923281068,0.16342195259474712,0.12331008484402438,
20,,,-0.32524869956652686,-0.01111923757148897,0.11760614865714457,-0.3590068450009408,-0.2516439918464577
21,-0.22379538724509754,0.4246668791306438,0.14803773461048086,0.08729366966098434,0.13673153066522487,0.04643283779636764,
