,A,B,F,C,H,D,E
0,,,0.3307098354240285,-0.005316282265681109,-0.03312648877106125,-1.7950809195458413,-0.01997512887663983
1,-1.1647202043680303,-0.07733411794454925,-0.16991232187859467,0.05908720703169022,-0.0289700787029127,1.6988145515264443,
2,,,0.14035732518022956,-0.05522369196359265,-0.044997060504669006,-1.5697202971869728,-0.01224362001506934
3,-1.91377945120644,-0.15981163334947737,-1.2542313246396655,0.05436139878171615,0.3499105455270337,1.412489761565611,
4,,,0.7638743194300478,0.3078187926129179,0.1658890932998711,-0.843993605880304,-0.019926689186928255
5,-1.5679854721445505,-0.2807964201012453,-0.17137933228413682,-0.3028715936729999,0.34217432042515106,0.869966217836781,
6,,,-0.10975563866387857,0.29654002547224045,0.8374722188068863,-0.5975149785037176,-0.162639456583894
7,-1.2034413305117553,0.7593573291194542,-0.3716644506312486,-0.3250603277462524,0.8243280398526973,1.0500419271158596,
8,,,0.11172103168297993,0.33079574045958343,0.3711003674381195,-0.5290691129198068,0.019063620468368018
9,-0.9815477558254264,-0.1843414314181699,0.11654249722181818,-0.30875972454957745,0.4386398533625658,1.061654626652588,
10,,,-0.32178075389342603,0.302833706398406,1.021671127707392,-0.7586852770380483,-0.18410404330846566
11,-0.38633142294866807,-0.19414766881583356,0.43249637426020787,-0.2981057649722147,0.9365945426771639,1.299463167490001,
12,,,-0.4594826673178728,0.22141025175181278,0.48015343483237855,-0.7124393110280333,-0.06576389693168416
13,-0.26270178598610505,-0.19242370256454774,0.41252659390214275,-0.27522080541968424,0.8927633900028853,0.9348353637363218,
14,,,-0.3140370803236292,0.2718991240688636,0.4631398471840747,-0.393935369573728,-0.011521956868397756
15,-0.3761947123523526,-0.44847742894462017,0.3721403638537446,-0.26726007513215216,0.4452378475642525,0.6247846162012192,
16,,,-0.40155684681880377,0.35300787127746425,0.3279153071125274,-0.19160527534042482,-0.04857051394708936
17,-0.29202522768647543,-0.47336811523572714,0.4736061136003134,-0.6762210661688953,0.48684931945480725,0.2997265131020927,
18,,,-0.6682401261337128,0.787909158919825,0.016412923072808533,-0.02237961164450343,-0.0622958412135204
19,-0.10008384137235317,-1.131371188912852,0.8861110692904952,-0.7756605737203615,0.326628389296566,-2.7971667508447324,
20,,,0.04522875271829663,0.9780599027504965,-0.2612717753480912,1.229281264697975,-0.161649174083646
21,-0.7538621290390524,-0.8424787816083329,0.6677825191505478,-0.5295237072033396,0.3144317117365556,-1.2776562750355889,
22,,,-0.7001089558395629,0.5200753429835198,-0.05746452217130921,1.3487876960138487,-0.4402926705574084
23,-1.2042197245285848,-0.8350356131691187,0.1735515289230105,0.44816114020191256,0.3724442466671373,-1.2681272018637546,
24,,,0.22422414733144058,-0.15797864423625035,0.6269266502386068,1.3827647205076177,-0.19722445141406988
25,-1.4908983541986751,-0.8243476370417285,-0.24150293905629974,0.16281469295757098,0.31813487782496397,-0.9296184132051367,
26,,,-0.1699559911689984,-0.09345861216291332,0.44079899289963614,1.034395530196431,-0.040458818565893145
27,-1.4385489937469167,-0.6845957750537988,0.03139176747016564,0.06763381844676572,0.2543933100550538,-0.4112326307563413,
28,,,0.15679738311648564,-0.10630164001534151,0.26426371371060936,0.526492418715201,-0.09251174440700863
29,-3.02306636261519,-0.03920261651347423,-0.2574468161029452,0.09947652409896499,-0.12201807687372183,-0.4343064932811177,
30,,,0.21958864611737716,-0.5925966584791323,-0.08725254189321531,0.32444404088615075,-0.02808254937954736
31,-1.8921636896660972,-0.2870416318918114,-0.5068807143138337,0.5805706581364013,-0.4489411313784021,-0.36952574097263036,
32,,,0.6917562940765333,-0.5591661112748827,0.0468128328593521,0.08134253582575379,-0.0023002606809487125
33,-0.9686894262369252,-0.3910859808579845,0.22161230647090602,0.5454044741750875,-0.331632996346983,-0.17468715990124184,
34,,,-0.5314626582448234,-0.37099162938481023,-1.3372079984798368,-0.04664524094817427,-0.05016947576924751
35,-0.3511344981406498,-0.43908990883021054,0.08056808965445582,0.36521727906456836,-1.4390114467666055,-0.5669923978550298,
36,,,0.1852359126393697,-0.31924634592234513,-1.1210401777589833,-0.07781019787964073,0.03845777730596877
37,-0.27114611688769014,-0.5545180314339887,-0.3523465042967976,0.40384546898760837,-1.0477136688281068,-0.3757437492511302,
38,,,0.6148265400141257,-0.43314228682155265,-0.4299895379444944,-0.16871853442165594,-0.0037368791476056276
39,-0.2628808104747246,-0.4763237530155412,-0.5885266970789985,0.27794523295394546,-0.6130324784597972,0.15421887950245003,
40,,,1.5633591158976363,-0.34139699274206137,2.647096174007764,-0.4812496353612643,-0.07213344053964867
41,-0.4318640534480324,-0.22745322257648287,-3.724176802125295,1.801547880144124,1.6569477466600955,0.05348173812254542,
42,,,2.8288835701303556,-1.8438203722708744,2.160449856269915,0.5398750786139008,-0.07551264091492962
43,0.14906684565862338,0.13556738955137684,-2.3140540164891603,1.8094588334618746,0.7748156941324646,-0.002492654750761028,
44,,,1.88942074088658,-1.7788563482162785,2.3251076912184705,0.36894344556702796,-0.20953394064089315
45,-0.15553482076525088,0.007948325452095922,-1.93595406800936,1.3804610719235038,1.0279731153847957,-0.0596886009072998,
46,,,1.833453454824212,-1.359618595587429,1.3874659931372144,0.9237743888072051,-0.053958841532261395
47,-0.7996366278131544,0.07477575812707236,-1.9215006162820951,1.338487184314788,0.9994853910137931,-0.2652037544290063,
48,,,1.8383686864818132,-1.2860370960356131,1.5156349314973772,0.7403519118196659,0.04950118489038951
49,-0.9134723525497747,0.08622988439195999,-1.6752772044402577,1.1513639986543063,0.8287538882343327,0.018241499035104414,
